N (x10^5);a (mm);Torque (Nm);n (rpm);Temp (ºC)
0,12984350620605767;0,08414418;0,5;1000;22
0,054065618152819184; 0,023977640265798073;0,5;1000;22
0,3066585783302429; 0,1467478938449105;0,5;1000;22
0,49309623941358893; 0,22069584510890117;0,5;1000;22
0,671515076;0,287919559;0,5;1000;22
0,7697456719888578; 0,34931001667412076;0,5;1000;22
0,980239805; 0,4106791515067183;0,5;1000;22
1,2244130003082319; 0,4704043131638649;0,5;1000;22
1,4433268991286639; 0,5211276022484324;0,5;1000;22
1,6959198593060876;0,572253889;0,5;1000;22
1,9148337581265196;0,616836266;0,5;1000;22
2,201105779660935; 0,6691843381721192;0,5;1000;22
2,411599913142126; 0,7143824061271342;0,5;1000;22
2,7904893534082618;0,771420919;0,5;1000;22
3,211477620370644; 0,8221058274029289;0,5;1000;22
3,674564714029259; 0,8625478873581471;0,5;1000;22
4,179750634384106; 0,9047559924269439;0,5;1000;22
4,684936554738954; 0,9496933914835175;0,5;1000;22
5,1901224750938155; 0,9919014965523107;0,5;1000;22
5,695308395448663; 1,0211454551791626;0,5;1000;22
6,200494316; 1,040154561351848;0,5;1000;22
6,705680236158358; 1,0543874030459222;0,5;1000;22
7,2108661565132195; 1,063843980261387;0,5;1000;22
7,716052076868067; 1,0753475279676827;0,5;1000;22
8,221237997222914;1,085486429;0,5;1000;22
8,726423917577762; 1,0969899763863893;0,5;1000;22
9,231609837932623; 1,1119051415774077;0,5;1000;22
9,736795758287471; 1,1254556597745378;0,5;1000;22
10,241981678642318; 1,1376415309777794;0,5;1000;22
10,747167598997166; 1,1464157846962983;0,5;1000;22
11,252353519352027; 1,1606486263903726;0,5;1000;22
11,757539439706875;1,172152174;0,5;1000;22
12,262725360061722; 1,1795617808213006;0,5;1000;22
12,767911280416584; 1,1903830050306539;0,5;1000;22
13,273097200771431; 1,1943809942705634;0,5;1000;22
13,778283121126279; 1,197014336516581;0,5;1000;22
14,283469041481126; 1,2037416197442692;0,5;1000;22
14,788654961835988; 1,212515873462788;0,5;1000;22
15,293840882190835; 1,2144668922118633;0,5;1000;22
15,799026802545683; 1,2150532639670484;0,5;1000;22
16,30421272290053; 1,2183689297100138;0,5;1000;22
16,809398643255392; 1,2182729779682564;0,5;1000;22
17,31458456361024; 1,2209063202142758;0,5;1000;22
17,819770483965087; 1,2296805739327947;0,5;1000;22
18,28285758; 1,2671204105014588;0,5;1000;22
18,56912959915813; 1,3251999997874595;0,5;1000;22
18,745944671282317; 1,3857567432065068;0,5;1000;22
18,87224115137103; 1,4440714142598132;0,5;1000;22
19,08273528485222; 1,682503496549483;0,5;1000;22
19,08273528485222; 1,6343996900149023;0,5;1000;22
19,040636458155987; 1,587668526452692;0,5;1000;22
19,061685871504096; 1,5289847077262344;0,5;1000;22
18,99853763145974; 1,492151232858955;0,5;1000;22
0,216175602;0,102675369;0,5;1000;34
0,605740151;0,213283875;0,5;1000;34
1,001417766;0,31841683;0,5;1000;34
1,380695345;0,390257485;0,5;1000;34
1,816361658;0,466011794;0,5;1000;34
2,229389542;0,545109393;0,5;1000;34
2,56642333;0,596182353;0,5;1000;34
2,998083877;0,655717899;0,5;1000;34
3,697011328;0,737969182;0,5;1000;34
4,717850711;0,833632584;0,5;1000;34
5,827107832;0,883377554;0,5;1000;34
6,730048303;0,911074386;0,5;1000;34
7,696644044;0,948155343;0,5;1000;34
8,609647027;0,973276305;0,5;1000;34
9,464583015;0,986181546;0,5;1000;34
10,42490756;0,998993609;0,5;1000;34
11,37928538;1,015803035;0,5;1000;34
12,30421962;1,033329937;0,5;1000;34
13,2543033;1,049310074;0,5;1000;34
14,18338663;1,066128818;0,5;1000;34
15,07824879;1,077710923;0,5;1000;34
16,03996955;1,082978622;0,5;1000;34
16,96870859;1,09614787;0,5;1000;34
17,74249481;1,126674967;0,5;1000;34
18,51457902;1,164517027;0,5;1000;34
19,17192044;1,212186335;0,5;1000;34
19,64200228;1,279321544;0,5;1000;34
19,82379417;1,378360139;0,5;1000;34
20,0603155;1,474220844;0,5;1000;34
20,14588057;1,57745545;0,5;1000;34
20,23144564;1,680690055;0,5;1000;34
0,057567177846607365; 0,028936365009249343;0,5;1000;50
0,2906102566513482;0,087927568;0,5;1000;50
0,6482883047660692; 0,15032256517394949;0,5;1000;50
0,9515232415330672; 0,23641962757743862;0,5;1000;50
1,4391229570317137; 0,3402827504768844;0,5;1000;50
1,684694823590931; 0,3976313852078359;0,5;1000;50
2,025738162086924; 0,45097897356708394;0,5;1000;50
2,3017372441874357; 0,5082398912674133;0,5;1000;50
2,681973633236609; 0,5548420964665279;0,5;1000;50
3,3881466038935315;0,641850239;0,5;1000;50
3,834952007428356; 0,6852135009627371;0,5;1000;50
4,404146948860017; 0,7259429252429843;0,5;1000;50
5,303645475033889; 0,7866705502109852;0,5;1000;50
6,3376822352894635; 0,8236107039694804;0,5;1000;50
7,395265647831863; 0,8370491343446282;0,5;1000;50
8,147422374; 0,8404656844400051;0,5;1000;50
9,160397246163939; 0,8527652647833612;0,5;1000;50
10,023731521208191; 0,8677980852030167;0,5;1000;50
10,962636211912667; 0,8894155294428554;0,5;1000;50
11,892312896527656; 0,9125238319061282;0,5;1000;50
12,805185780553458; 0,9362657491143622;0,5;1000;50
13,67888144211338; 0,9533094533044402;0,5;1000;50
14,680811617253099; 0,9762166082296311;0,5;1000;50
15,38832351;0,980169517;0,5;1000;50
16,162176168040887; 0,9880606485602712;0,5;1000;50
16,790056422172583; 0,9899739166136818;0,5;1000;50
17,99959251178707; 1,0003602289036255;0,5;1000;50
18,902253251394015; 1,0350226825985374;0,5;1000;50
